Id,Start,Name,Impact,Currency
0886d3da-9686-4327-9bc1-44c82e87b7d4,10/30/2025 11:00:00,Inflation Index/IGP-M,LOW,BRL
75e5c513-d6cc-45c3-a971-fb08d0bddb3a,10/31/2025 11:30:00,Nominal Budget Balance,LOW,BRL
87d44d2f-1c08-4b01-9a79-832d6a145937,10/31/2025 11:30:00,Primary Budget Surplus,LOW,BRL
720d6bb4-025d-4547-9cfb-89fb4bbeb023,10/31/2025 12:00:00,Unemployment Rate,LOW,BRL
e5b4c19a-0c2d-400e-96c9-fd6097f538d5,11/03/2025 13:00:00,S&P Global Manufacturing PMI,LOW,BRL
196ece71-02d1-450e-a9e9-80e52819c933,11/04/2025 08:00:00,Fipe's IPC Inflation,LOW,BRL
e3e70862-cb5e-484f-a46a-ccb3963fe1ef,11/04/2025 12:00:00,Industrial Output (MoM),LOW,BRL
aad33b81-fdf7-4fc3-8c45-d02baafd3ea4,11/04/2025 12:00:00,Industrial Output (YoY),LOW,BRL
778e47e1-ec7d-4e90-b1c2-5487eba6a317,11/05/2025 21:00:00,Interest Rate Decision,LOW,BRL
f8d7d717-fe19-4201-96d9-59c12d2e7588,11/06/2025 18:00:00,Trade Balance,LOW,BRL
7dd7e6c8-8913-4003-b812-5d9d61dc2d9d,11/11/2025 12:00:00,IPCA Inflation,LOW,BRL
dd0e80eb-2794-473f-8ae0-cf88fabed9b9,11/13/2025 12:00:00,Retail Sales (MoM),LOW,BRL
8b7591b7-4334-4f52-94c3-5797e78d8900,11/25/2025 12:00:00,Mid-month Inflation,LOW,BRL
97e1ea49-c6d7-4209-8c90-5a9d9dc29f2b,11/25/2025 12:30:00,Current Account,LOW,BRL
16156dd0-db3f-4684-aa66-3f24c9d1d400,11/27/2025 11:00:00,Inflation Index/IGP-M,LOW,BRL
73e16c0e-7059-43be-a05d-df4a3dfb35ef,11/28/2025 11:30:00,Nominal Budget Balance,LOW,BRL
0e88a170-1dc2-403d-8234-274d01d525e2,11/28/2025 11:30:00,Primary Budget Surplus,LOW,BRL
55b4ab2d-1ffb-4b2e-98d8-a1afae0e02e9,11/28/2025 12:00:00,Unemployment Rate,LOW,BRL
23363d1b-e78b-4e05-bbb4-fe9b4b663428,12/01/2025 13:00:00,S&P Global Manufacturing PMI,LOW,BRL
