ngram_range,min_df,max_df,C,accuracy,f1_macro,f1_weighted
"(1, 1)",1,0.9,0.3,0.943540848756777,0.9211060587423681,0.9450452384603384
"(1, 1)",1,0.9,1.0,0.944942979996261,0.9225199521622638,0.9462792694012532
"(1, 1)",1,0.9,3.0,0.9453168816601234,0.9227396738230733,0.9466331798739491
"(1, 1)",1,0.95,0.3,0.943540848756777,0.9211060587423681,0.9450452384603384
"(1, 1)",1,0.95,1.0,0.944942979996261,0.9225199521622638,0.9462792694012532
"(1, 1)",1,0.95,3.0,0.9453168816601234,0.9227396738230733,0.9466331798739491
"(1, 1)",2,0.9,0.3,0.9436343241727426,0.9216063343740097,0.9451140515832726
"(1, 1)",2,0.9,1.0,0.9441951766685361,0.9219711831087942,0.945627438808127
"(1, 1)",2,0.9,3.0,0.9451299308281922,0.922469808160912,0.9464427641923767
"(1, 1)",2,0.95,0.3,0.9436343241727426,0.9216063343740097,0.9451140515832726
"(1, 1)",2,0.95,1.0,0.9441951766685361,0.9219711831087942,0.945627438808127
"(1, 1)",2,0.95,3.0,0.9451299308281922,0.922469808160912,0.9464427641923767
"(1, 1)",3,0.9,0.3,0.9436343241727426,0.921035740983086,0.9451109645979868
"(1, 1)",3,0.9,1.0,0.9448495045802954,0.9224146944137848,0.9461807720695257
"(1, 1)",3,0.9,3.0,0.9451299308281922,0.9224525096547416,0.9464519051978199
"(1, 1)",3,0.95,0.3,0.9436343241727426,0.921035740983086,0.9451109645979868
"(1, 1)",3,0.95,1.0,0.9448495045802954,0.9224146944137848,0.9461807720695257
"(1, 1)",3,0.95,3.0,0.9451299308281922,0.9224525096547416,0.9464519051978199
"(1, 2)",1,0.9,0.3,0.9455038324920546,0.9234429614772699,0.9467992407714462
"(1, 2)",1,0.9,1.0,0.9460646849878482,0.9239295620870566,0.9473481680738263
"(1, 2)",1,0.9,3.0,0.9442886520845017,0.9224672670303689,0.9456956798557675
"(1, 2)",1,0.95,0.3,0.9455038324920546,0.9234429614772699,0.9467992407714462
"(1, 2)",1,0.95,1.0,0.9460646849878482,0.9239295620870566,0.9473481680738263
"(1, 2)",1,0.95,3.0,0.9442886520845017,0.9224672670303689,0.9456956798557675
"(1, 2)",2,0.9,0.3,0.9455038324920546,0.9234429614772699,0.9467992407714462
"(1, 2)",2,0.9,1.0,0.9460646849878482,0.9239882867299756,0.9473412380890779
"(1, 2)",2,0.9,3.0,0.9453168816601234,0.9233661153305516,0.9466787055772085
"(1, 2)",2,0.95,0.3,0.9455038324920546,0.9234429614772699,0.9467992407714462
"(1, 2)",2,0.95,1.0,0.9460646849878482,0.9239882867299756,0.9473412380890779
"(1, 2)",2,0.95,3.0,0.9453168816601234,0.9233661153305516,0.9466787055772085
"(1, 2)",3,0.9,0.3,0.9455038324920546,0.9234101095260199,0.9468323985927192
"(1, 2)",3,0.9,1.0,0.9459712095718826,0.9238594190701492,0.9472317369272857
"(1, 2)",3,0.9,3.0,0.944942979996261,0.9230070175765852,0.9462943996125776
"(1, 2)",3,0.95,0.3,0.9455038324920546,0.9234101095260199,0.9468323985927192
"(1, 2)",3,0.95,1.0,0.9459712095718826,0.9238594190701492,0.9472317369272857
"(1, 2)",3,0.95,3.0,0.944942979996261,0.9230070175765852,0.9462943996125776
"(1, 3)",1,0.9,0.3,0.9450364554122266,0.923083013409866,0.9464651401157603
"(1, 3)",1,0.9,1.0,0.9455038324920546,0.9238203011169319,0.9469985464612266
"(1, 3)",1,0.9,3.0,0.9465320620676761,0.9254562313235842,0.9479046127793416
"(1, 3)",1,0.95,0.3,0.9450364554122266,0.923083013409866,0.9464651401157603
"(1, 3)",1,0.95,1.0,0.9455038324920546,0.9238203011169319,0.9469985464612266
"(1, 3)",1,0.95,3.0,0.9465320620676761,0.9254562313235842,0.9479046127793416
"(1, 3)",2,0.9,0.3,0.9462516358197794,0.9239997650686611,0.9475368438811088
"(1, 3)",2,0.9,1.0,0.9455038324920546,0.9238203011169319,0.9469985464612266
"(1, 3)",2,0.9,3.0,0.9459712095718826,0.9244705237541161,0.9475301781260409
"(1, 3)",2,0.95,0.3,0.9462516358197794,0.9239997650686611,0.9475368438811088
"(1, 3)",2,0.95,1.0,0.9455038324920546,0.9238203011169319,0.9469985464612266
"(1, 3)",2,0.95,3.0,0.9459712095718826,0.9244705237541161,0.9475301781260409
"(1, 3)",3,0.9,0.3,0.9453168816601234,0.9232465434283323,0.9467386899326513
"(1, 3)",3,0.9,1.0,0.9455973079080202,0.9239612802074799,0.9471023690331697
"(1, 3)",3,0.9,3.0,0.946345111235745,0.9246416049019044,0.9477977833774042
"(1, 3)",3,0.95,0.3,0.9453168816601234,0.9232465434283323,0.9467386899326513
"(1, 3)",3,0.95,1.0,0.9455973079080202,0.9239612802074799,0.9471023690331697
"(1, 3)",3,0.95,3.0,0.946345111235745,0.9246416049019044,0.9477977833774042
